epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,7145.99,1.32812,2.99782,1.02464,0.41939,0.54135,0.45027,0.24168,1.61667,3.15215,1.04781,0.000662188,0.000662188,0.000662188
97,7219.83,1.29538,2.95417,1.01939,0.4414,0.5315,0.46404,0.29004,1.30398,2.9899,0.97056,0.000656,0.000656,0.000656
98,7295.13,1.29328,2.92891,1.01315,0.43089,0.55276,0.4649,0.28633,1.34379,2.98451,0.9783,0.000649813,0.000649813,0.000649813
99,7368.61,1.32594,2.97671,1.03946,0.41593,0.49705,0.47714,0.28856,1.37215,3.04404,0.98502,0.000643625,0.000643625,0.000643625
100,7442.19,1.29457,2.93673,1.02177,0.40954,0.53125,0.46803,0.28613,1.32896,3.01545,0.97413,0.000637437,0.000637437,0.000637437
101,7516.16,1.31876,2.98643,1.02947,0.48654,0.46373,0.47211,0.29231,1.29115,2.96859,0.96078,0.00063125,0.00063125,0.00063125
102,7590.24,1.30135,2.90834,1.02121,0.51047,0.5554,0.51353,0.30111,1.3856,3.07573,0.9902,0.000625062,0.000625062,0.000625062
103,7663.23,1.27917,2.84356,1.01994,0.50193,0.60531,0.51628,0.31224,1.40369,3.0301,0.99399,0.000618875,0.000618875,0.000618875
104,7737.36,1.29792,2.84494,1.01043,0.44921,0.55223,0.51987,0.31868,1.3045,2.93295,0.96873,0.000612687,0.000612687,0.000612687
105,7812.18,1.31975,2.95893,1.02457,0.42835,0.43528,0.45237,0.27965,1.36728,3.3075,0.98057,0.0006065,0.0006065,0.0006065
106,7887.7,1.30342,2.9176,1.01845,0.37467,0.53028,0.49166,0.30231,1.28312,2.99937,0.96851,0.000600313,0.000600313,0.000600313
107,7960.24,1.29015,2.91358,1.02103,0.54156,0.49635,0.4877,0.29017,1.3821,3.06559,0.98764,0.000594125,0.000594125,0.000594125
108,8033.85,1.27709,2.86256,1.00136,0.43673,0.49511,0.49424,0.30053,1.33648,2.95744,0.97885,0.000587938,0.000587938,0.000587938
109,8108.58,1.27147,2.85795,1.01163,0.4579,0.51513,0.46909,0.30224,1.33289,3.13043,0.97559,0.00058175,0.00058175,0.00058175
110,8181.6,1.28763,2.89437,1.01818,0.48846,0.57959,0.52975,0.32137,1.36602,2.97827,0.98609,0.000575563,0.000575563,0.000575563
111,8255.33,1.25643,2.82222,1.0159,0.55076,0.58784,0.53197,0.3125,1.47431,3.04477,1.01193,0.000569375,0.000569375,0.000569375
112,8331.52,1.31143,2.89519,1.02061,0.534,0.54854,0.49524,0.30065,1.42104,3.13088,1.00009,0.000563187,0.000563187,0.000563187
113,8405.53,1.2834,2.8481,1.01237,0.40625,0.55804,0.48238,0.29112,1.38408,3.00876,0.99046,0.000557,0.000557,0.000557
114,8479.22,1.26345,2.85,1.00862,0.49186,0.52536,0.518,0.2959,1.38213,3.06146,0.989,0.000550813,0.000550813,0.000550813
115,8555.24,1.29441,2.89931,1.01395,0.45624,0.61042,0.52154,0.30771,1.3682,2.9705,0.97959,0.000544625,0.000544625,0.000544625
116,8630.31,1.29763,2.8986,1.00398,0.41442,0.51055,0.46719,0.27506,1.40869,2.99927,0.98651,0.000538438,0.000538438,0.000538438
117,8705.51,1.3032,2.95523,1.01865,0.42094,0.61088,0.50491,0.28808,1.4899,3.02188,1.00946,0.00053225,0.00053225,0.00053225
118,8779.21,1.30152,2.91699,1.02562,0.45355,0.57258,0.53247,0.30579,1.40761,2.96735,0.99296,0.000526063,0.000526063,0.000526063
119,8852.05,1.26709,2.83499,1.02031,0.45581,0.66161,0.52226,0.31112,1.38289,2.99064,0.99256,0.000519875,0.000519875,0.000519875
120,8927.58,1.29169,2.87698,1.0119,0.53265,0.58836,0.54735,0.34872,1.28195,2.91907,0.97337,0.000513688,0.000513688,0.000513688
